word,log_freq,entropy,entropy_targeted,rounds,rounds_targeted
aahed,0.0,4.466812028818372,4.362410047025297,5.0,
aalii,0.0,3.996010524649639,3.771642231576766,5.0,
aapas,0.0,4.119909545579999,3.448169722390882,5.0,
aargh,1.83,4.195019947710286,4.235052302964293,4.0,
aarti,2.23,4.846229638330389,4.722075540308762,3.0,
abaca,1.77,3.194676888412793,3.15675188660574,4.0,
abaci,1.19,3.935988820009257,3.8920756502147,4.0,
aback,2.99,3.555814692332953,3.5125430994676874,4.0,4.0
abacs,0.0,4.356641769762919,3.925697561217208,4.0,
abaft,1.8,3.673631003787177,3.798596611425774,4.0,
abaht,0.0,3.8645599973556712,3.9813677705478794,4.0,
abaka,0.0,3.109371066301557,2.7875344166435965,5.0,
abamp,0.0,3.657569058586272,3.4844900697158803,5.0,
aband,1.2,4.039668629544368,3.942706042449792,4.0,
abase,1.56,4.714537569386696,4.586120973655053,4.0,3.0
abash,1.02,4.097997496215755,3.969236087745087,4.0,
abask,0.0,4.037802589630706,3.707554290573932,4.0,
abate,2.68,4.551367489276094,4.632574342531719,4.0,4.0
abaya,2.24,3.165839509218066,2.971527293829202,5.0,
abbas,3.41,3.774875984939469,3.120567346597205,5.0,
abbed,0.0,4.014644987865914,3.968651583471124,3.0,
abbes,1.21,4.612611154925812,4.093979706379202,3.0,
abbey,3.88,3.995215523731749,3.930481420290103,3.0,4.0
abbot,3.43,3.872730084155766,3.987907726622319,4.0,3.0
abcee,0.0,4.3466965893892064,4.475524548468438,4.0,
abeam,1.75,4.148026042146671,3.959999243796267,4.0,
abear,0.0,4.516996320095072,4.538435335760108,4.0,
abeat,0.0,4.409966958426806,4.457895281909776,4.0,
abeer,1.66,4.623331919468174,4.708985397862606,4.0,
abele,1.77,4.516789477811829,4.683774156324946,3.0,
abeng,0.0,4.463615618591355,4.532410078870691,4.0,
abers,1.09,5.41046310112651,5.035401170412244,4.0,
abets,1.62,5.304339751289604,4.942020611963251,3.0,
abeys,0.0,4.968792721419464,4.535657263903391,4.0,
abhor,2.64,4.470682345583811,4.598528516418665,4.0,4.0
abide,3.59,4.878926695698251,4.893572999209421,4.0,4.0
abies,2.23,5.525165599942088,5.020146604220605,3.0,
abius,0.0,4.992049291601132,4.442780339265052,4.0,
abjad,0.0,3.264591776042256,2.983907444038844,5.0,
abjud,0.0,3.5594408904189883,3.3945196062974947,4.0,
abled,2.29,4.872841576591552,4.877487260206584,3.0,3.0
abler,1.29,5.098994555612888,5.180946057223862,4.0,
ables,1.73,5.470713521027205,5.002621750514841,3.0,
ablet,0.0,5.04346807674252,5.237911948627826,3.0,
ablow,1.56,4.183639307347157,4.186443519374764,5.0,
abmho,0.0,4.114785742072485,3.986805007887996,4.0,
abnet,0.0,5.01764885311289,5.178030393724945,3.0,
abode,3.13,4.860650303976566,4.867953429361449,4.0,4.0
abohm,0.0,4.147690590889057,4.105023938217399,4.0,
aboil,0.0,4.772516840924247,4.803932099555015,3.0,
aboma,0.0,3.987001290549388,3.68104294042563,4.0,
